3,L,562,120,R
28,L,562,120,B
57,L,562,120,B
90,L,562,120,B
118,L,562,120,B
153,L,562,120,R
193,L,562,120,B
216,L,562,120,B
248,L,562,120,B
280,L,562,120,B
320,L,562,120,R
352,L,562,120,R
383,L,562,120,B
417,L,562,120,R
450,L,562,120,B
490,L,562,120,B
530,L,562,120,B
564,L,562,120,R
7,R,562,120,B
36,R,562,120,B
60,R,562,120,B
90,R,562,120,R
115,R,562,120,B
158,R,562,120,B
190,R,562,120,B
231,R,562,120,R
264,R,562,120,R
305,R,562,120,B
332,R,562,120,B
379,R,562,120,R
412,R,562,120,B
441,R,562,120,R
470,R,562,120,B
501,R,562,120,B
537,R,562,120,R
570,R,562,120,B
