8,L,562,120,B
39,L,562,120,R
76,L,562,120,B
104,L,562,120,B
138,L,562,120,B
161,L,562,120,R
193,L,562,120,B
220,L,562,120,B
255,L,562,120,B
278,L,562,120,R
303,L,562,120,R
333,L,562,120,B
368,L,562,120,B
430,L,562,120,R
477,L,562,120,B
520,L,562,120,B
554,L,562,120,B
576,L,562,120,R
5,R,562,120,R
36,R,562,120,B
73,R,562,120,B
101,R,562,120,R
135,R,562,120,B
158,R,562,120,B
190,R,562,120,B
217,R,562,120,R
252,R,562,120,B
275,R,562,120,B
300,R,562,120,B
330,R,562,120,R
365,R,562,120,R
427,R,562,120,B
474,R,562,120,B
517,R,562,120,R
551,R,562,120,B
573,R,562,120,B
