4,L,562,120,B
35,L,562,120,R
72,L,562,120,B
100,L,562,120,B
134,L,562,120,B
157,L,562,120,R
189,L,562,120,B
216,L,562,120,B
251,L,562,120,B
274,L,562,120,B
299,L,562,120,R
329,L,562,120,R
364,L,562,120,B
426,L,562,120,R
473,L,562,120,B
516,L,562,120,B
550,L,562,120,B
572,L,562,120,R
8,R,562,120,B
39,R,562,120,B
76,R,562,120,B
104,R,562,120,R
138,R,562,120,B
161,R,562,120,B
193,R,562,120,B
220,R,562,120,R
255,R,562,120,R
278,R,562,120,B
303,R,562,120,B
333,R,562,120,R
368,R,562,120,B
430,R,562,120,B
477,R,562,120,R
520,R,562,120,B
554,R,562,120,B
576,R,562,120,R
