7,L,562,120,R
30,L,562,120,B
58,L,562,120,B
87,L,562,120,R
110,L,562,120,B
147,L,562,120,B
178,L,562,120,R
209,L,562,120,B
245,L,562,120,B
275,L,562,120,B
306,L,562,120,R
330,L,562,120,B
389,L,562,120,B
428,L,562,120,R
482,L,562,120,B
519,L,562,120,B
546,L,562,120,B
573,L,562,120,R
1,R,562,120,B
36,R,562,120,R
60,R,562,120,B
90,R,562,120,R
115,R,562,120,B
158,R,562,120,B
190,R,562,120,B
231,R,562,120,B
264,R,562,120,R
305,R,562,120,B
332,R,562,120,B
379,R,562,120,R
412,R,562,120,R
441,R,562,120,B
470,R,562,120,B
501,R,562,120,B
537,R,562,120,R
570,R,562,120,B
