3,L,562,120,B
34,L,562,120,R
71,L,562,120,B
99,L,562,120,B
133,L,562,120,B
156,L,562,120,R
188,L,562,120,B
215,L,562,120,B
250,L,562,120,B
273,L,562,120,B
298,L,562,120,R
328,L,562,120,R
363,L,562,120,B
425,L,562,120,R
472,L,562,120,B
515,L,562,120,B
549,L,562,120,B
571,L,562,120,R
2,R,562,120,B
33,R,562,120,B
70,R,562,120,B
98,R,562,120,R
132,R,562,120,B
155,R,562,120,B
187,R,562,120,B
214,R,562,120,R
249,R,562,120,R
272,R,562,120,B
297,R,562,120,R
327,R,562,120,B
362,R,562,120,R
424,R,562,120,B
471,R,562,120,B
514,R,562,120,R
548,R,562,120,B
570,R,562,120,B
