3,L,400,150,B
19,L,400,150,B
34,L,400,150,R
46,L,400,150,B
71,L,400,150,B
88,L,400,150,R
99,L,400,150,B
111,L,400,150,B
133,L,400,150,B
145,L,400,150,R
156,L,400,150,R
168,L,400,150,B
188,L,400,150,B
200,L,400,150,R
215,L,400,150,B
228,L,400,150,B
250,L,400,150,B
261,L,400,150,R
273,L,400,150,B
287,L,400,150,B
298,L,400,150,R
312,L,400,150,B
328,L,400,150,R
341,L,400,150,B
363,L,400,150,B
395,L,400,150,B
425,L,400,150,R
442,L,400,150,B
472,L,400,150,B
497,L,400,150,R
515,L,400,150,B
532,L,400,150,R
549,L,400,150,B
560,L,400,150,B
571,L,400,150,R
583,L,400,150,B
2,R,400,150,B
18,R,400,150,R
33,R,400,150,B
45,R,400,150,R
70,R,400,150,B
87,R,400,150,B
98,R,400,150,R
110,R,400,150,R
132,R,400,150,B
144,R,400,150,B
155,R,400,150,B
167,R,400,150,R
187,R,400,150,B
199,R,400,150,B
214,R,400,150,R
227,R,400,150,B
249,R,400,150,R
260,R,400,150,B
272,R,400,150,B
286,R,400,150,B
297,R,400,150,B
311,R,400,150,B
327,R,400,150,R
340,R,400,150,B
362,R,400,150,R
394,R,400,150,R
424,R,400,150,B
441,R,400,150,B
471,R,400,150,B
496,R,400,150,B
514,R,400,150,B
531,R,400,150,B
548,R,400,150,R
559,R,400,150,B
570,R,400,150,R
582,R,400,150,B
